================================================================================
TRAJECTORY LOG -- iter_220 consistency champion rule
Source JSON: champion_vc_rule_consistency.json
Seed: L_TROMINO_3bit at [(63, 63), (64, 63), (64, 64)]
Grid: 128x128, Steps: 500
Rule entries: 18

Rule dictionary:
    8 (0b0001000) -> 72
   24 (0b0011000) -> 88
   33 (0b0100001) -> 97
   37 (0b0100101) -> 101
   41 (0b0101001) -> 105
   42 (0b0101010) -> 106
   50 (0b0110010) -> 114
   56 (0b0111000) -> 120
   57 (0b0111001) -> 121
   68 (0b1000100) -> 4
   69 (0b1000101) -> 5
   70 (0b1000110) -> 6
   71 (0b1000111) -> 7
   76 (0b1001100) -> 12
   96 (0b1100000) -> 32
  118 (0b1110110) -> 54
  120 (0b1111000) -> 56
  124 (0b1111100) -> 60

================================================================================
STEP | CoM_row_raw | CoM_col_raw | CoM_row_unwrapped | CoM_col_unwrapped | Active | Displacement | Step Velocity
 144 |   63.666667 |   79.333333 |         63.666667 |        207.333333 |      3 |   144.000000 |      1.000000
 145 |   63.666667 |   80.333333 |         63.666667 |        208.333333 |      3 |   145.000000 |      1.000000
 146 |   63.666667 |   81.333333 |         63.666667 |        209.333333 |      3 |   146.000000 |      1.000000
 147 |   63.666667 |   82.333333 |         63.666667 |        210.333333 |      3 |   147.000000 |      1.000000
 148 |   63.666667 |   83.333333 |         63.666667 |        211.333333 |      3 |   148.000000 |      1.000000
 149 |   63.666667 |   84.333333 |         63.666667 |        212.333333 |      3 |   149.000000 |      1.000000
 150 |   63.666667 |   85.333333 |         63.666667 |        213.333333 |      3 |   150.000000 |      1.000000
 151 |   63.666667 |   86.333333 |         63.666667 |        214.333333 |      3 |   151.000000 |      1.000000
 152 |   63.666667 |   87.333333 |         63.666667 |        215.333333 |      3 |   152.000000 |      1.000000
 153 |   63.666667 |   88.333333 |         63.666667 |        216.333333 |      3 |   153.000000 |      1.000000
 154 |   63.666667 |   89.333333 |         63.666667 |        217.333333 |      3 |   154.000000 |      1.000000
 155 |   63.666667 |   90.333333 |         63.666667 |        218.333333 |      3 |   155.000000 |      1.000000
 156 |   63.666667 |   91.333333 |         63.666667 |        219.333333 |      3 |   156.000000 |      1.000000
 157 |   63.666667 |   92.333333 |         63.666667 |        220.333333 |      3 |   157.000000 |      1.000000
 158 |   63.666667 |   93.333333 |         63.666667 |        221.333333 |      3 |   158.000000 |      1.000000
 159 |   63.666667 |   94.333333 |         63.666667 |        222.333333 |      3 |   159.000000 |      1.000000
 160 |   63.666667 |   95.333333 |         63.666667 |        223.333333 |      3 |   160.000000 |      1.000000
 161 |   63.666667 |   96.333333 |         63.666667 |        224.333333 |      3 |   161.000000 |      1.000000
 162 |   63.666667 |   97.333333 |         63.666667 |        225.333333 |      3 |   162.000000 |      1.000000
 163 |   63.666667 |   98.333333 |         63.666667 |        226.333333 |      3 |   163.000000 |      1.000000
 164 |   63.666667 |   99.333333 |         63.666667 |        227.333333 |      3 |   164.000000 |      1.000000
 165 |   63.666667 |  100.333333 |         63.666667 |        228.333333 |      3 |   165.000000 |      1.000000
 166 |   63.666667 |  101.333333 |         63.666667 |        229.333333 |      3 |   166.000000 |      1.000000
 167 |   63.666667 |  102.333333 |         63.666667 |        230.333333 |      3 |   167.000000 |      1.000000
 168 |   63.666667 |  103.333333 |         63.666667 |        231.333333 |      3 |   168.000000 |      1.000000
 169 |   63.666667 |  104.333333 |         63.666667 |        232.333333 |      3 |   169.000000 |      1.000000
 170 |   63.666667 |  105.333333 |         63.666667 |        233.333333 |      3 |   170.000000 |      1.000000
 171 |   63.666667 |  106.333333 |         63.666667 |        234.333333 |      3 |   171.000000 |      1.000000
 172 |   63.666667 |  107.333333 |         63.666667 |        235.333333 |      3 |   172.000000 |      1.000000
 173 |   63.666667 |  108.333333 |         63.666667 |        236.333333 |      3 |   173.000000 |      1.000000
 174 |   63.666667 |  109.333333 |         63.666667 |        237.333333 |      3 |   174.000000 |      1.000000
 175 |   63.666667 |  110.333333 |         63.666667 |        238.333333 |      3 |   175.000000 |      1.000000
 176 |   63.666667 |  111.333333 |         63.666667 |        239.333333 |      3 |   176.000000 |      1.000000
 177 |   63.666667 |  112.333333 |         63.666667 |        240.333333 |      3 |   177.000000 |      1.000000
 178 |   63.666667 |  113.333333 |         63.666667 |        241.333333 |      3 |   178.000000 |      1.000000
 179 |   63.666667 |  114.333333 |         63.666667 |        242.333333 |      3 |   179.000000 |      1.000000
 180 |   63.666667 |  115.333333 |         63.666667 |        243.333333 |      3 |   180.000000 |      1.000000
 181 |   63.666667 |  116.333333 |         63.666667 |        244.333333 |      3 |   181.000000 |      1.000000
 182 |   63.666667 |  117.333333 |         63.666667 |        245.333333 |      3 |   182.000000 |      1.000000
 183 |   63.666667 |  118.333333 |         63.666667 |        246.333333 |      3 |   183.000000 |      1.000000
 184 |   63.666667 |  119.333333 |         63.666667 |        247.333333 |      3 |   184.000000 |      1.000000
 185 |   63.666667 |  120.333333 |         63.666667 |        248.333333 |      3 |   185.000000 |      1.000000
 186 |   63.666667 |  121.333333 |         63.666667 |        249.333333 |      3 |   186.000000 |      1.000000
 187 |   63.666667 |  122.333333 |         63.666667 |        250.333333 |      3 |   187.000000 |      1.000000
 188 |   63.666667 |  123.333333 |         63.666667 |        251.333333 |      3 |   188.000000 |      1.000000
 189 |   63.666667 |  124.333333 |         63.666667 |        252.333333 |      3 |   189.000000 |      1.000000
 190 |   63.666667 |  125.333333 |         63.666667 |        253.333333 |      3 |   190.000000 |      1.000000
 191 |   63.666667 |  126.333333 |         63.666667 |        254.333333 |      3 |   191.000000 |      1.000000
 192 |   63.666667 |   84.666667 |         63.666667 |        255.333333 |      3 |   192.000000 |      1.000000
 193 |   63.666667 |    0.333333 |         63.666667 |        256.333333 |      3 |   193.000000 |      1.000000
 194 |   63.666667 |    1.333333 |         63.666667 |        257.333333 |      3 |   194.000000 |      1.000000
 195 |   63.666667 |    2.333333 |         63.666667 |        258.333333 |      3 |   195.000000 |      1.000000
 196 |   63.666667 |    3.333333 |         63.666667 |        259.333333 |      3 |   196.000000 |      1.000000
 197 |   63.666667 |    4.333333 |         63.666667 |        260.333333 |      3 |   197.000000 |      1.000000
 198 |   63.666667 |    5.333333 |         63.666667 |        261.333333 |      3 |   198.000000 |      1.000000
 199 |   63.666667 |    6.333333 |         63.666667 |        262.333333 |      3 |   199.000000 |      1.000000
 200 |   63.666667 |    7.333333 |         63.666667 |        263.333333 |      3 |   200.000000 |      1.000000 ***
 201 |   63.666667 |    8.333333 |         63.666667 |        264.333333 |      3 |   201.000000 |      1.000000
 202 |   63.666667 |    9.333333 |         63.666667 |        265.333333 |      3 |   202.000000 |      1.000000
 203 |   63.666667 |   10.333333 |         63.666667 |        266.333333 |      3 |   203.000000 |      1.000000
 204 |   63.666667 |   11.333333 |         63.666667 |        267.333333 |      3 |   204.000000 |      1.000000
 205 |   63.666667 |   12.333333 |         63.666667 |        268.333333 |      3 |   205.000000 |      1.000000
 206 |   63.666667 |   13.333333 |         63.666667 |        269.333333 |      3 |   206.000000 |      1.000000
 207 |   63.666667 |   14.333333 |         63.666667 |        270.333333 |      3 |   207.000000 |      1.000000
 208 |   63.666667 |   15.333333 |         63.666667 |        271.333333 |      3 |   208.000000 |      1.000000
 209 |   63.666667 |   16.333333 |         63.666667 |        272.333333 |      3 |   209.000000 |      1.000000
 210 |   63.666667 |   17.333333 |         63.666667 |        273.333333 |      3 |   210.000000 |      1.000000
 211 |   63.666667 |   18.333333 |         63.666667 |        274.333333 |      3 |   211.000000 |      1.000000
 212 |   63.666667 |   19.333333 |         63.666667 |        275.333333 |      3 |   212.000000 |      1.000000
 213 |   63.666667 |   20.333333 |         63.666667 |        276.333333 |      3 |   213.000000 |      1.000000
 214 |   63.666667 |   21.333333 |         63.666667 |        277.333333 |      3 |   214.000000 |      1.000000
 215 |   63.666667 |   22.333333 |         63.666667 |        278.333333 |      3 |   215.000000 |      1.000000
 216 |   63.666667 |   23.333333 |         63.666667 |        279.333333 |      3 |   216.000000 |      1.000000
 217 |   63.666667 |   24.333333 |         63.666667 |        280.333333 |      3 |   217.000000 |      1.000000
 218 |   63.666667 |   25.333333 |         63.666667 |        281.333333 |      3 |   218.000000 |      1.000000
 219 |   63.666667 |   26.333333 |         63.666667 |        282.333333 |      3 |   219.000000 |      1.000000
 220 |   63.666667 |   27.333333 |         63.666667 |        283.333333 |      3 |   220.000000 |      1.000000
 221 |   63.666667 |   28.333333 |         63.666667 |        284.333333 |      3 |   221.000000 |      1.000000
