step,com_x,com_y,bit_count
580,63.3750,55.8125,16
581,63.7273,78.1818,22
582,63.5000,63.7500,24
583,63.8462,85.7308,26
584,63.2857,50.1429,14
585,63.5000,63.7500,20
586,63.3846,56.4231,26
587,63.7273,78.1818,22
588,63.3846,56.4231,26
589,63.7000,76.4500,40
590,63.4211,58.7368,38
591,63.8947,88.8158,38
592,63.3750,55.8125,16
593,63.6154,71.0769,26
594,63.5000,63.7500,32
595,63.7222,77.8611,36
596,63.3000,51.0500,40
597,63.6800,75.1800,50
598,63.3929,56.9464,56
599,63.8800,87.8800,50
600,63.2000,44.7000,20
601,63.2727,49.3182,22
602,63.2778,49.6389,36
603,63.5000,63.7500,24
604,63.2273,46.4318,44
605,63.4211,58.7368,38
606,63.2667,48.9333,60
607,63.9167,90.2083,24
608,63.7143,77.3571,14
609,63.8000,82.8000,20
610,63.8235,84.2941,34
611,63.8947,88.8158,38
612,63.6154,71.0769,26
613,63.8125,83.5938,32
614,63.7391,78.9348,46
615,63.9167,90.2083,48
616,63.3750,55.8125,16
617,63.5455,66.6364,22
618,63.5000,63.7500,32
619,63.7857,81.8929,28
620,63.5000,63.7500,32
621,63.7391,78.9348,46
622,63.5417,66.3958,48
623,63.9167,90.2083,48
624,63.5455,66.6364,22
625,63.6875,75.6562,32
626,63.6800,75.1800,50
627,63.8148,83.7407,54
628,63.4400,59.9400,50
629,63.7333,78.5667,60
630,63.5641,67.8205,78
631,63.8800,87.8800,50
632,63.2000,44.7000,20
633,63.2000,44.7000,20
634,63.1875,43.9062,32
635,63.2500,47.8750,16
636,63.2273,46.4318,44
637,63.2143,45.6071,28
638,63.2143,45.6071,56
639,63.6667,74.3333,6
640,63.7143,77.3571,14
641,63.7143,77.3571,14
642,63.7273,78.1818,22
643,63.6000,70.1000,10
644,63.6154,71.0769,26
645,63.6667,74.3333,18
646,63.6471,73.0882,34
647,63.5000,63.7500,8
648,63.5000,63.7500,20
649,63.5000,63.7500,20
650,63.5000,63.7500,32
651,63.6250,71.6875,16
652,63.6364,72.4091,44
653,63.5714,68.2857,28
654,63.6071,70.5536,56
655,63.6000,70.1000,10
656,63.6154,71.0769,26
657,63.6154,71.0769,26
658,63.6190,71.3095,42
659,63.5455,66.6364,22
660,63.5484,66.8226,62
661,63.5789,68.7632,38
662,63.5641,67.8205,78
663,63.4000,57.4000,10
664,63.2727,49.3182,22
665,63.3846,56.4231,26
666,63.3158,52.0526,38
667,63.4545,60.8636,22
668,63.3200,52.3200,50
669,63.4211,58.7368,38
670,63.3333,53.1667,66
671,63.8333,84.9167,12
672,63.8000,82.8000,20
673,63.8750,87.5625,32
674,63.8500,85.9750,40
675,63.8000,82.8000,20
676,63.7222,77.8611,36
677,63.8500,85.9750,40
678,63.7857,81.8929,56
679,63.6000,70.1000,10
680,63.5455,66.6364,22
681,63.6154,71.0769,26
682,63.5789,68.7632,38
683,63.7273,78.1818,22
684,63.6800,75.1800,50
685,63.6842,75.4474,38
686,63.6667,74.3333,66
687,63.7500,79.6250,16
688,63.6875,75.6562,32
689,63.7727,81.0682,44
690,63.7333,78.5667,60
691,63.6875,75.6562,32
692,63.6111,70.8056,72
693,63.7333,78.5667,60
694,63.5641,67.8205,78
695,63.4000,57.4000,10
696,63.2000,44.7000,20
697,63.2727,49.3182,22
698,63.1333,40.4667,30
699,63.4545,60.8636,22
700,63.1500,41.5250,40
701,63.3529,54.4118,34
702,63.0833,37.2917,48
703,63.8333,84.9167,12
704,63.7143,77.3571,14
705,63.8000,82.8000,20
706,63.5000,63.7500,12
707,63.8000,82.8000,20
708,63.5455,66.6364,22
709,63.7857,81.8929,28
710,63.2500,47.8750,16
711,63.7143,77.3571,14
712,63.5000,63.7500,20
713,63.6154,71.0769,26
714,63.3846,56.4231,26
715,63.8235,84.2941,34
716,63.5000,63.7500,32
717,63.7391,78.9348,46
718,63.2143,45.6071,28
719,63.8000,82.8000,20
720,63.6154,71.0769,26
721,63.7222,77.8611,36
722,63.4286,59.2143,28
723,63.7727,81.0682,44
724,63.4400,59.9400,50
725,63.7333,78.5667,60
726,63.1053,38.6842,38
727,63.5000,63.7500,12
728,63.3846,56.4231,26
729,63.4286,59.2143,28
730,63.2778,49.6389,36
731,63.5714,68.2857,28
732,63.3200,52.3200,50
733,63.5000,63.7500,44
734,63.1852,43.7593,54
735,63.8889,88.4444,18
736,63.8750,87.5625,32
737,63.8947,88.8158,38
738,63.7273,78.1818,22
739,63.8667,87.0333,30
740,63.7727,81.0682,44
741,63.8800,87.8800,50
742,63.3333,53.1667,18
743,63.7500,79.6250,16
744,63.6154,71.0769,26
745,63.6875,75.6562,32
746,63.5000,63.7500,32
747,63.8500,85.9750,40
748,63.6190,71.3095,42
749,63.7857,81.8929,56
750,63.3529,54.4118,34
