step,CoM_x,CoM_y,bit_count,state_hash
254,63.666667,63.666667,3,44d3ed4deb4ac7b8
255,63.666667,64.000000,3,f067db67410ca6a5
256,63.333333,64.333333,3,418cf1275861566f
257,63.333333,64.000000,3,a2aed0ec9e5aa2d8
258,63.666667,63.666667,3,44d3ed4deb4ac7b8
259,63.666667,64.000000,3,f067db67410ca6a5
260,63.333333,64.333333,3,418cf1275861566f
261,63.333333,64.000000,3,a2aed0ec9e5aa2d8
262,63.666667,63.666667,3,44d3ed4deb4ac7b8
263,63.666667,64.000000,3,f067db67410ca6a5
264,63.333333,64.333333,3,418cf1275861566f
265,63.333333,64.000000,3,a2aed0ec9e5aa2d8
266,63.666667,63.666667,3,44d3ed4deb4ac7b8
267,63.666667,64.000000,3,f067db67410ca6a5
268,63.333333,64.333333,3,418cf1275861566f
269,63.333333,64.000000,3,a2aed0ec9e5aa2d8
270,63.666667,63.666667,3,44d3ed4deb4ac7b8
271,63.666667,64.000000,3,f067db67410ca6a5
272,63.333333,64.333333,3,418cf1275861566f
273,63.333333,64.000000,3,a2aed0ec9e5aa2d8
274,63.666667,63.666667,3,44d3ed4deb4ac7b8
275,63.666667,64.000000,3,f067db67410ca6a5
276,63.333333,64.333333,3,418cf1275861566f
277,63.333333,64.000000,3,a2aed0ec9e5aa2d8
278,63.666667,63.666667,3,44d3ed4deb4ac7b8
279,63.666667,64.000000,3,f067db67410ca6a5
280,63.333333,64.333333,3,418cf1275861566f
281,63.333333,64.000000,3,a2aed0ec9e5aa2d8
282,63.666667,63.666667,3,44d3ed4deb4ac7b8
283,63.666667,64.000000,3,f067db67410ca6a5
284,63.333333,64.333333,3,418cf1275861566f
285,63.333333,64.000000,3,a2aed0ec9e5aa2d8
286,63.666667,63.666667,3,44d3ed4deb4ac7b8
287,63.666667,64.000000,3,f067db67410ca6a5
288,63.333333,64.333333,3,418cf1275861566f
289,63.333333,64.000000,3,a2aed0ec9e5aa2d8
290,63.666667,63.666667,3,44d3ed4deb4ac7b8
291,63.666667,64.000000,3,f067db67410ca6a5
292,63.333333,64.333333,3,418cf1275861566f
293,63.333333,64.000000,3,a2aed0ec9e5aa2d8
294,63.666667,63.666667,3,44d3ed4deb4ac7b8
295,63.666667,64.000000,3,f067db67410ca6a5
296,63.333333,64.333333,3,418cf1275861566f
297,63.333333,64.000000,3,a2aed0ec9e5aa2d8
298,63.666667,63.666667,3,44d3ed4deb4ac7b8
299,63.666667,64.000000,3,f067db67410ca6a5
300,63.333333,64.333333,3,418cf1275861566f
301,63.333333,64.000000,3,a2aed0ec9e5aa2d8
302,63.666667,63.666667,3,44d3ed4deb4ac7b8
303,63.666667,64.000000,3,f067db67410ca6a5
304,63.333333,64.333333,3,418cf1275861566f
305,63.333333,64.000000,3,a2aed0ec9e5aa2d8
306,63.666667,63.666667,3,44d3ed4deb4ac7b8
307,63.666667,64.000000,3,f067db67410ca6a5
308,63.333333,64.333333,3,418cf1275861566f
309,63.333333,64.000000,3,a2aed0ec9e5aa2d8
310,63.666667,63.666667,3,44d3ed4deb4ac7b8
311,63.666667,64.000000,3,f067db67410ca6a5
312,63.333333,64.333333,3,418cf1275861566f
313,63.333333,64.000000,3,a2aed0ec9e5aa2d8
314,63.666667,63.666667,3,44d3ed4deb4ac7b8
315,63.666667,64.000000,3,f067db67410ca6a5
316,63.333333,64.333333,3,418cf1275861566f
317,63.333333,64.000000,3,a2aed0ec9e5aa2d8
318,63.666667,63.666667,3,44d3ed4deb4ac7b8
319,63.666667,64.000000,3,f067db67410ca6a5
320,63.333333,64.333333,3,418cf1275861566f
321,63.333333,64.000000,3,a2aed0ec9e5aa2d8
322,63.666667,63.666667,3,44d3ed4deb4ac7b8
323,63.666667,64.000000,3,f067db67410ca6a5
324,63.333333,64.333333,3,418cf1275861566f
325,63.333333,64.000000,3,a2aed0ec9e5aa2d8
326,63.666667,63.666667,3,44d3ed4deb4ac7b8
327,63.666667,64.000000,3,f067db67410ca6a5
328,63.333333,64.333333,3,418cf1275861566f
329,63.333333,64.000000,3,a2aed0ec9e5aa2d8
330,63.666667,63.666667,3,44d3ed4deb4ac7b8
331,63.666667,64.000000,3,f067db67410ca6a5
332,63.333333,64.333333,3,418cf1275861566f
333,63.333333,64.000000,3,a2aed0ec9e5aa2d8
334,63.666667,63.666667,3,44d3ed4deb4ac7b8
335,63.666667,64.000000,3,f067db67410ca6a5
336,63.333333,64.333333,3,418cf1275861566f
337,63.333333,64.000000,3,a2aed0ec9e5aa2d8
338,63.666667,63.666667,3,44d3ed4deb4ac7b8
339,63.666667,64.000000,3,f067db67410ca6a5
340,63.333333,64.333333,3,418cf1275861566f
341,63.333333,64.000000,3,a2aed0ec9e5aa2d8
342,63.666667,63.666667,3,44d3ed4deb4ac7b8
343,63.666667,64.000000,3,f067db67410ca6a5
344,63.333333,64.333333,3,418cf1275861566f
345,63.333333,64.000000,3,a2aed0ec9e5aa2d8
346,63.666667,63.666667,3,44d3ed4deb4ac7b8
347,63.666667,64.000000,3,f067db67410ca6a5
348,63.333333,64.333333,3,418cf1275861566f
349,63.333333,64.000000,3,a2aed0ec9e5aa2d8
350,63.666667,63.666667,3,44d3ed4deb4ac7b8
351,63.666667,64.000000,3,f067db67410ca6a5
352,63.333333,64.333333,3,418cf1275861566f
353,63.333333,64.000000,3,a2aed0ec9e5aa2d8
354,63.666667,63.666667,3,44d3ed4deb4ac7b8
355,63.666667,64.000000,3,f067db67410ca6a5
356,63.333333,64.333333,3,418cf1275861566f
357,63.333333,64.000000,3,a2aed0ec9e5aa2d8
358,63.666667,63.666667,3,44d3ed4deb4ac7b8
359,63.666667,64.000000,3,f067db67410ca6a5
360,63.333333,64.333333,3,418cf1275861566f
361,63.333333,64.000000,3,a2aed0ec9e5aa2d8
362,63.666667,63.666667,3,44d3ed4deb4ac7b8
363,63.666667,64.000000,3,f067db67410ca6a5
364,63.333333,64.333333,3,418cf1275861566f
365,63.333333,64.000000,3,a2aed0ec9e5aa2d8
366,63.666667,63.666667,3,44d3ed4deb4ac7b8
367,63.666667,64.000000,3,f067db67410ca6a5
368,63.333333,64.333333,3,418cf1275861566f
369,63.333333,64.000000,3,a2aed0ec9e5aa2d8
370,63.666667,63.666667,3,44d3ed4deb4ac7b8
371,63.666667,64.000000,3,f067db67410ca6a5
372,63.333333,64.333333,3,418cf1275861566f
373,63.333333,64.000000,3,a2aed0ec9e5aa2d8
374,63.666667,63.666667,3,44d3ed4deb4ac7b8
375,63.666667,64.000000,3,f067db67410ca6a5
376,63.333333,64.333333,3,418cf1275861566f
377,63.333333,64.000000,3,a2aed0ec9e5aa2d8
378,63.666667,63.666667,3,44d3ed4deb4ac7b8
379,63.666667,64.000000,3,f067db67410ca6a5
380,63.333333,64.333333,3,418cf1275861566f
381,63.333333,64.000000,3,a2aed0ec9e5aa2d8
382,63.666667,63.666667,3,44d3ed4deb4ac7b8
383,63.666667,64.000000,3,f067db67410ca6a5
384,63.333333,64.333333,3,418cf1275861566f
385,63.333333,64.000000,3,a2aed0ec9e5aa2d8
386,63.666667,63.666667,3,44d3ed4deb4ac7b8
387,63.666667,64.000000,3,f067db67410ca6a5
388,63.333333,64.333333,3,418cf1275861566f
389,63.333333,64.000000,3,a2aed0ec9e5aa2d8
390,63.666667,63.666667,3,44d3ed4deb4ac7b8
391,63.666667,64.000000,3,f067db67410ca6a5
392,63.333333,64.333333,3,418cf1275861566f
393,63.333333,64.000000,3,a2aed0ec9e5aa2d8
394,63.666667,63.666667,3,44d3ed4deb4ac7b8
395,63.666667,64.000000,3,f067db67410ca6a5
396,63.333333,64.333333,3,418cf1275861566f
397,63.333333,64.000000,3,a2aed0ec9e5aa2d8
398,63.666667,63.666667,3,44d3ed4deb4ac7b8
399,63.666667,64.000000,3,f067db67410ca6a5
400,63.333333,64.333333,3,418cf1275861566f
401,63.333333,64.000000,3,a2aed0ec9e5aa2d8
402,63.666667,63.666667,3,44d3ed4deb4ac7b8
403,63.666667,64.000000,3,f067db67410ca6a5
404,63.333333,64.333333,3,418cf1275861566f
405,63.333333,64.000000,3,a2aed0ec9e5aa2d8
406,63.666667,63.666667,3,44d3ed4deb4ac7b8
407,63.666667,64.000000,3,f067db67410ca6a5
408,63.333333,64.333333,3,418cf1275861566f
409,63.333333,64.000000,3,a2aed0ec9e5aa2d8
410,63.666667,63.666667,3,44d3ed4deb4ac7b8
411,63.666667,64.000000,3,f067db67410ca6a5
412,63.333333,64.333333,3,418cf1275861566f
413,63.333333,64.000000,3,a2aed0ec9e5aa2d8
414,63.666667,63.666667,3,44d3ed4deb4ac7b8
415,63.666667,64.000000,3,f067db67410ca6a5
416,63.333333,64.333333,3,418cf1275861566f
417,63.333333,64.000000,3,a2aed0ec9e5aa2d8
418,63.666667,63.666667,3,44d3ed4deb4ac7b8
419,63.666667,64.000000,3,f067db67410ca6a5
420,63.333333,64.333333,3,418cf1275861566f
421,63.333333,64.000000,3,a2aed0ec9e5aa2d8
422,63.666667,63.666667,3,44d3ed4deb4ac7b8
423,63.666667,64.000000,3,f067db67410ca6a5
424,63.333333,64.333333,3,418cf1275861566f
425,63.333333,64.000000,3,a2aed0ec9e5aa2d8
426,63.666667,63.666667,3,44d3ed4deb4ac7b8
427,63.666667,64.000000,3,f067db67410ca6a5
428,63.333333,64.333333,3,418cf1275861566f
429,63.333333,64.000000,3,a2aed0ec9e5aa2d8
430,63.666667,63.666667,3,44d3ed4deb4ac7b8
431,63.666667,64.000000,3,f067db67410ca6a5
432,63.333333,64.333333,3,418cf1275861566f
433,63.333333,64.000000,3,a2aed0ec9e5aa2d8
