step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size,g3_x,g3_y,g3_z,g3_dist_bary,g3_clust_size
83,16,ok,30.435,18.298,34.095,10.8571,9.7118,21.3433,36.667,23.333,33.667,8.0238,6,25.000,11.000,36.000,9.2961,1,36.571,15.857,25.714,10.6704,7,23.500,23.000,41.000,10.8571,2
84,16,ok,33.979,18.833,31.667,12.5339,8.3312,19.8914,37.000,23.500,34.167,6.0953,6,25.000,20.000,40.333,12.5339,3,37.250,18.500,26.500,6.1240,4,36.667,13.333,25.667,8.5716,3
85,16,ok,31.280,18.488,35.595,11.0070,9.8612,21.3423,37.333,23.667,34.667,8.0203,6,26.000,11.000,38.000,9.4726,1,37.286,16.286,26.714,10.9450,7,24.500,23.000,43.000,11.0070,2
86,16,ok,31.821,18.839,36.327,11.2010,9.6295,20.8450,37.286,15.857,27.143,11.0954,7,25.500,24.000,44.000,11.2010,2,27.000,12.000,39.000,8.7844,1,37.500,23.500,35.167,7.4375,6
87,16,ok,31.935,18.298,37.095,11.2250,9.8691,20.3286,37.571,15.857,27.714,11.2131,7,27.000,11.000,40.000,9.2759,1,37.667,23.333,35.667,7.7625,6,25.500,23.000,45.000,11.2250,2
88,16,ok,32.625,18.946,37.827,11.3950,9.7380,19.7934,28.000,12.000,41.000,8.9280,1,38.000,16.286,28.143,11.3912,7,38.000,23.500,36.167,7.2377,6,26.500,24.000,46.000,11.3950,2
89,16,ok,32.780,18.488,38.595,11.5239,10.0732,19.2890,38.333,23.667,36.667,7.8345,6,28.000,11.000,42.000,9.5137,1,26.500,23.000,47.000,11.4207,2,38.286,16.286,28.714,11.5239,7
90,16,ok,32.946,20.839,39.577,12.7361,10.1010,23.4486,38.500,23.500,37.167,6.6131,6,29.000,16.000,47.000,9.6999,2,26.000,28.000,45.000,11.3549,1,38.286,15.857,29.143,12.7361,7
91,16,ok,35.958,18.354,36.104,13.7785,8.7824,18.7439,38.667,13.333,29.667,8.6015,3,28.000,19.000,47.333,13.7785,3,38.500,17.750,29.750,6.8703,4,38.667,23.333,37.667,5.8795,6
92,16,ok,34.071,18.107,33.893,13.6523,10.5547,17.8914,30.000,12.000,45.000,13.3132,1,39.000,16.286,30.143,6.4553,7,37.286,24.143,39.429,8.7980,7,30.000,20.000,21.000,13.6523,1
93,16,ok,33.615,19.573,40.573,12.4127,10.6681,20.4217,39.333,23.667,38.667,7.2867,6,38.125,16.625,29.625,12.2021,8,27.000,27.000,48.000,12.4127,1,30.000,11.000,46.000,10.7709,1
