step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size
124,12,ok,46.167,19.167,44.667,7.5746,5.4239,13.5900,47.250,18.250,46.750,2.5207,4,45.000,26.250,42.250,7.5746,4,46.250,13.000,45.000,6.1762,4
125,12,ok,46.461,19.450,45.328,6.7434,4.7019,12.6470,46.800,13.600,46.400,5.9571,5,47.333,19.000,46.333,1.4051,3,45.250,25.750,43.250,6.7434,4
126,12,ok,46.833,19.083,46.083,7.4442,5.1728,13.1909,47.000,13.250,46.250,5.8381,4,46.000,26.250,44.250,7.4442,4,47.500,17.750,47.750,2.2361,4
127,12,ok,46.810,20.897,46.540,6.1170,4.5437,11.9357,47.000,21.500,48.000,1.5914,2,47.429,14.857,47.286,6.1170,7,46.000,26.333,44.333,5.9227,3
128,12,ok,47.417,19.000,47.333,7.1570,5.0721,13.3182,48.250,18.250,48.750,1.8066,4,46.750,26.000,46.000,7.1570,4,47.250,12.750,47.250,6.2528,4
129,12,ok,47.706,18.644,47.822,7.4154,5.0808,13.6893,48.200,17.600,48.800,1.5137,5,47.250,26.000,47.000,7.4154,4,47.667,12.333,47.667,6.3131,3
130,12,ok,47.917,22.500,48.333,7.0396,5.2642,11.1383,48.250,15.500,49.000,7.0396,8,47.000,26.000,45.500,4.5954,2,48.500,26.000,50.500,4.1575,2
131,12,ok,48.333,18.917,49.250,7.0882,4.7637,13.0000,48.250,26.000,49.000,7.0882,4,48.500,17.750,49.750,1.2802,4,48.250,13.000,49.000,5.9225,4
132,12,ok,48.683,21.619,49.786,6.7624,5.0222,11.4118,48.714,14.857,49.857,6.7624,7,48.000,26.000,47.500,4.9883,2,49.333,24.000,52.000,3.3160,3
133,12,ok,49.039,18.644,50.489,7.3763,4.9511,13.7439,49.200,17.600,50.800,1.1016,5,49.250,26.000,51.000,7.3763,4,48.667,12.333,49.667,6.3753,3
