step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size
68,12,ok,49.167,53.667,-16.667,4.3205,2.8987,7.8740,48.500,57.000,-14.000,4.3205,4,49.500,53.000,-17.000,0.8165,4,49.500,51.000,-19.000,3.5590,4
69,12,ok,49.361,56.333,-15.917,4.3921,3.0577,6.9011,50.000,58.000,-14.000,2.6191,1,49.750,53.000,-18.750,4.3921,8,48.333,58.000,-15.000,2.1620,3
70,12,ok,50.167,55.667,-17.667,4.3205,2.8987,7.8740,49.500,59.000,-15.000,4.3205,4,50.500,53.000,-20.000,3.5590,4,50.500,55.000,-18.000,0.8165,4
71,12,ok,50.083,58.333,-17.083,4.3205,2.9948,6.8829,50.750,55.000,-19.750,4.3205,8,50.500,59.500,-15.500,2.0104,2,49.000,60.500,-16.000,2.6536,2
72,12,ok,51.167,57.667,-18.667,4.3205,2.8987,7.8740,51.500,57.000,-19.000,0.8165,4,50.500,61.000,-16.000,4.3205,4,51.500,55.000,-21.000,3.5590,4
73,12,ok,51.417,58.667,-19.417,4.3205,2.8987,7.8740,51.750,56.000,-21.750,3.5590,4,50.750,62.000,-16.750,4.3205,4,51.750,58.000,-19.750,0.8165,4
74,12,ok,51.722,50.889,-18.333,13.1985,10.8953,7.3655,51.667,62.667,-17.000,11.8531,3,52.500,58.000,-21.000,7.6344,8,51.000,32.000,-17.000,13.1985,1
75,12,ok,52.339,50.311,-20.206,14.2661,10.8892,8.1930,52.600,60.600,-20.200,10.2922,5,51.667,32.333,-17.667,14.2661,3,52.750,58.000,-22.750,8.1094,4
76,12,ok,53.167,51.000,-20.667,14.2673,10.8728,7.8740,53.500,61.000,-21.000,10.0111,4,52.500,33.000,-18.000,14.2673,4,53.500,59.000,-23.000,8.3400,4
77,12,ok,53.417,52.000,-21.417,14.2673,10.8728,7.8740,52.750,34.000,-18.750,14.2673,4,53.750,60.000,-23.750,8.3400,4,53.750,62.000,-21.750,10.0111,4
78,12,ok,54.256,52.689,-21.867,13.9127,10.8279,7.0235,53.600,34.400,-19.600,13.9127,5,54.500,61.000,-24.000,8.5840,4,54.667,62.667,-22.000,9.9871,3
79,12,ok,54.406,43.511,-22.272,13.4859,10.8747,7.5077,54.667,32.333,-22.667,11.1878,3,54.800,62.200,-24.400,13.4859,5,53.750,36.000,-19.750,7.9504,4
80,12,ok,55.167,33.667,-22.667,4.3205,2.8987,7.8740,55.500,33.000,-23.000,0.8165,4,55.500,31.000,-25.000,3.5590,4,54.500,37.000,-20.000,4.3205,4
81,12,ok,55.417,34.667,-23.417,4.3205,2.8987,7.8740,54.750,38.000,-20.750,4.3205,4,55.750,32.000,-25.750,3.5590,4,55.750,34.000,-23.750,0.8165,4
82,12,ok,56.167,35.667,-23.667,4.3205,2.8987,7.8740,56.500,35.000,-24.000,0.8165,4,56.500,33.000,-26.000,3.5590,4,55.500,39.000,-21.000,4.3205,4
83,12,ok,56.083,38.333,-23.083,4.3205,2.9948,6.8829,56.500,39.500,-21.500,2.0104,2,56.750,35.000,-25.750,4.3205,8,55.000,40.500,-22.000,2.6536,2
84,12,ok,57.167,37.667,-24.667,4.3205,2.8987,7.8740,57.500,35.000,-27.000,3.5590,4,56.500,41.000,-22.000,4.3205,4,57.500,37.000,-25.000,0.8165,4
85,12,ok,57.417,38.667,-25.417,4.3205,2.8987,7.8740,56.750,42.000,-22.750,4.3205,4,57.750,38.000,-25.750,0.8165,4,57.750,36.000,-27.750,3.5590,4
86,12,ok,58.167,39.667,-25.667,4.3205,2.8987,7.8740,58.500,37.000,-28.000,3.5590,4,57.500,43.000,-23.000,4.3205,4,58.500,39.000,-26.000,0.8165,4
87,12,ok,58.417,40.667,-26.417,4.3205,2.8987,7.8740,58.750,38.000,-28.750,3.5590,4,57.750,44.000,-23.750,4.3205,4,58.750,40.000,-26.750,0.8165,4
88,12,ok,59.167,41.667,-26.667,4.3205,2.8987,7.8740,59.500,41.000,-27.000,0.8165,4,58.500,45.000,-24.000,4.3205,4,59.500,39.000,-29.000,3.5590,4
89,12,ok,59.361,44.333,-25.917,4.3921,3.0577,6.9011,58.333,46.000,-25.000,2.1620,3,59.750,41.000,-28.750,4.3921,8,60.000,46.000,-24.000,2.6191,1
90,12,ok,60.167,43.667,-27.667,4.3205,2.8987,7.8740,60.500,41.000,-30.000,3.5590,4,59.500,47.000,-25.000,4.3205,4,60.500,43.000,-28.000,0.8165,4
91,12,ok,60.083,46.333,-27.083,4.3205,2.9948,6.8829,59.000,48.500,-26.000,2.6536,2,60.500,47.500,-25.500,2.0104,2,60.750,43.000,-29.750,4.3205,8
92,12,ok,61.167,45.667,-28.667,4.3205,2.8987,7.8740,61.500,43.000,-31.000,3.5590,4,60.500,49.000,-26.000,4.3205,4,61.500,45.000,-29.000,0.8165,4
93,12,ok,61.417,46.667,-29.417,4.3205,2.8987,7.8740,61.750,46.000,-29.750,0.8165,4,61.750,44.000,-31.750,3.5590,4,60.750,50.000,-26.750,4.3205,4
94,12,ok,62.167,47.667,-29.667,4.3205,2.8987,7.8740,61.500,51.000,-27.000,4.3205,4,62.500,45.000,-32.000,3.5590,4,62.500,47.000,-30.000,0.8165,4
95,12,ok,52.111,47.762,-20.381,16.3352,15.2484,5.7755,62.333,46.000,-1.000,16.3352,3,32.000,47.000,-31.000,15.9590,2,62.000,50.286,-29.143,13.4510,7
96,12,ok,42.250,48.583,-18.000,18.2867,15.7363,11.8585,32.000,46.500,-1.000,18.2867,2,62.750,50.750,-22.000,12.3671,8,32.000,48.500,-31.000,16.5550,2
97,12,ok,31.583,49.333,-11.250,13.2749,10.8479,5.6899,31.250,52.000,-30.250,13.2749,8,32.500,47.500,-1.500,9.9631,2,31.000,48.500,-2.000,9.3058,2
98,12,ok,32.167,51.667,0.333,4.3205,2.8987,7.8740,32.500,49.000,-2.000,3.5590,4,31.500,55.000,3.000,4.3205,4,32.500,51.000,0.000,0.8165,4
99,12,ok,32.083,54.333,0.917,4.3205,2.9948,6.8829,32.750,51.000,-1.750,4.3205,8,32.500,55.500,2.500,2.0104,2,31.000,56.500,2.000,2.6536,2
100,12,ok,33.167,53.667,-0.667,4.3205,2.8987,7.8740,32.500,57.000,2.000,4.3205,4,33.500,51.000,-3.000,3.5590,4,33.500,53.000,-1.000,0.8165,4
101,12,ok,33.417,54.667,-1.417,4.3205,2.8987,7.8740,33.750,52.000,-3.750,3.5590,4,32.750,58.000,1.250,4.3205,4,33.750,54.000,-1.750,0.8165,4
102,12,ok,34.167,55.667,-1.667,4.3205,2.8987,7.8740,34.500,55.000,-2.000,0.8165,4,33.500,59.000,1.000,4.3205,4,34.500,53.000,-4.000,3.5590,4
103,12,ok,34.417,56.667,-2.417,4.3205,2.9948,6.8829,34.000,55.500,-4.000,2.0104,4,33.750,60.000,0.250,4.3205,4,35.500,54.500,-3.500,2.6536,4
104,12,ok,35.167,57.667,-2.667,4.3205,2.8987,7.8740,35.500,57.000,-3.000,0.8165,4,35.500,55.000,-5.000,3.5590,4,34.500,61.000,0.000,4.3205,4
105,12,ok,35.417,58.667,-3.417,4.3205,2.8987,7.8740,35.750,56.000,-5.750,3.5590,4,34.750,62.000,-0.750,4.3205,4,35.750,58.000,-3.750,0.8165,4
106,12,ok,35.722,50.889,-2.333,13.1985,10.8953,7.3655,35.667,62.667,-1.000,11.8531,3,36.500,58.000,-5.000,7.6344,8,35.000,32.000,-1.000,13.1985,1
107,12,ok,36.139,51.444,-3.139,12.9813,10.8703,6.8038,36.750,59.000,-5.750,8.0173,8,35.667,32.333,-1.667,12.9813,3,36.000,63.000,-2.000,11.6124,1
108,12,ok,37.167,51.000,-4.667,14.2673,10.8728,7.8740,37.500,59.000,-7.000,8.3400,4,36.500,33.000,-2.000,14.2673,4,37.500,61.000,-5.000,10.0111,4
109,12,ok,37.417,52.000,-5.417,14.2673,10.8728,7.8740,37.750,60.000,-7.750,8.3400,4,36.750,34.000,-2.750,14.2673,4,37.750,62.000,-5.750,10.0111,4
110,12,ok,38.024,42.905,-5.381,13.3189,10.8378,6.8007,38.571,61.714,-7.143,13.3189,7,38.000,32.000,-6.000,10.9223,1,37.500,35.000,-3.000,8.2722,4
111,12,ok,38.539,32.667,-6.317,4.2803,2.9811,6.7086,38.200,31.000,-8.200,2.5376,5,39.667,31.000,-7.000,2.1252,3,37.750,36.000,-3.750,4.2803,4
112,12,ok,39.167,33.667,-6.667,4.3205,2.8987,7.8740,39.500,33.000,-7.000,0.8165,4,38.500,37.000,-4.000,4.3205,4,39.500,31.000,-9.000,3.5590,4
113,12,ok,39.417,34.667,-7.417,4.3205,2.8987,7.8740,39.750,32.000,-9.750,3.5590,4,38.750,38.000,-4.750,4.3205,4,39.750,34.000,-7.750,0.8165,4
114,12,ok,40.167,35.667,-7.667,4.3205,2.8987,7.8740,40.500,35.000,-8.000,0.8165,4,39.500,39.000,-5.000,4.3205,4,40.500,33.000,-10.000,3.5590,4
115,12,ok,40.417,36.667,-8.417,4.3205,2.9948,6.8829,40.000,35.500,-10.000,2.0104,4,41.500,34.500,-9.500,2.6536,4,39.750,40.000,-5.750,4.3205,4
116,12,ok,41.167,37.667,-8.667,4.3205,2.8987,7.8740,40.500,41.000,-6.000,4.3205,4,41.500,37.000,-9.000,0.8165,4,41.500,35.000,-11.000,3.5590,4
117,12,ok,41.417,38.667,-9.417,4.3205,2.8987,7.8740,41.750,36.000,-11.750,3.5590,4,40.750,42.000,-6.750,4.3205,4,41.750,38.000,-9.750,0.8165,4
118,12,ok,42.167,39.667,-9.667,4.3205,2.8987,7.8740,42.500,39.000,-10.000,0.8165,4,42.500,37.000,-12.000,3.5590,4,41.500,43.000,-7.000,4.3205,4
119,12,ok,42.417,40.667,-10.417,4.3205,2.8987,7.8740,42.750,38.000,-12.750,3.5590,4,41.750,44.000,-7.750,4.3205,4,42.750,40.000,-10.750,0.8165,4
120,12,ok,43.167,41.667,-10.667,4.3205,2.8987,7.8740,43.500,39.000,-13.000,3.5590,4,42.500,45.000,-8.000,4.3205,4,43.500,41.000,-11.000,0.8165,4
121,12,ok,43.417,42.667,-11.417,4.3205,2.8987,7.8740,43.750,40.000,-13.750,3.5590,4,42.750,46.000,-8.750,4.3205,4,43.750,42.000,-11.750,0.8165,4
122,12,ok,44.167,43.667,-11.667,4.3205,2.8987,7.8740,43.500,47.000,-9.000,4.3205,4,44.500,43.000,-12.000,0.8165,4,44.500,41.000,-14.000,3.5590,4
123,12,ok,44.539,44.667,-12.317,4.2803,2.9811,6.7086,45.667,43.000,-13.000,2.1252,3,43.750,48.000,-9.750,4.2803,4,44.200,43.000,-14.200,2.5376,5
124,12,ok,45.167,45.667,-12.667,4.3205,2.8987,7.8740,44.500,49.000,-10.000,4.3205,4,45.500,43.000,-15.000,3.5590,4,45.500,45.000,-13.000,0.8165,4
125,12,ok,45.417,46.667,-13.417,4.3205,2.8987,7.8740,45.750,44.000,-15.750,3.5590,4,44.750,50.000,-10.750,4.3205,4,45.750,46.000,-13.750,0.8165,4
126,12,ok,46.167,47.667,-13.667,4.3205,2.8987,7.8740,46.500,45.000,-16.000,3.5590,4,45.500,51.000,-11.000,4.3205,4,46.500,47.000,-14.000,0.8165,4
127,12,ok,46.417,48.667,-14.417,4.3205,2.8987,7.8740,46.750,46.000,-16.750,3.5590,4,45.750,52.000,-11.750,4.3205,4,46.750,48.000,-14.750,0.8165,4
128,12,ok,47.167,49.667,-14.667,4.3205,2.8987,7.8740,47.500,47.000,-17.000,3.5590,4,46.500,53.000,-12.000,4.3205,4,47.500,49.000,-15.000,0.8165,4
129,12,ok,47.417,50.667,-15.417,4.3205,2.8987,7.8740,47.750,48.000,-17.750,3.5590,4,46.750,54.000,-12.750,4.3205,4,47.750,50.000,-15.750,0.8165,4
130,12,ok,48.167,51.667,-15.667,4.3205,2.8987,7.8740,48.500,49.000,-18.000,3.5590,4,47.500,55.000,-13.000,4.3205,4,48.500,51.000,-16.000,0.8165,4
131,12,ok,48.417,52.667,-16.417,4.3205,2.8987,7.8740,47.750,56.000,-13.750,4.3205,4,48.750,50.000,-18.750,3.5590,4,48.750,52.000,-16.750,0.8165,4
132,12,ok,49.167,53.667,-16.667,4.3205,2.8987,7.8740,49.500,51.000,-19.000,3.5590,4,48.500,57.000,-14.000,4.3205,4,49.500,53.000,-17.000,0.8165,4
133,12,ok,49.083,56.333,-16.083,4.3205,2.9948,6.8829,49.500,57.500,-14.500,2.0104,2,49.750,53.000,-18.750,4.3205,8,48.000,58.500,-15.000,2.6536,2
134,12,ok,50.167,55.667,-17.667,4.3205,2.8987,7.8740,50.500,53.000,-20.000,3.5590,4,49.500,59.000,-15.000,4.3205,4,50.500,55.000,-18.000,0.8165,4
135,12,ok,50.417,56.667,-18.417,4.3205,2.8987,7.8740,49.750,60.000,-15.750,4.3205,4,50.750,56.000,-18.750,0.8165,4,50.750,54.000,-20.750,3.5590,4
136,12,ok,51.167,57.667,-18.667,4.3205,2.8987,7.8740,50.500,61.000,-16.000,4.3205,4,51.500,55.000,-21.000,3.5590,4,51.500,57.000,-19.000,0.8165,4
137,12,ok,51.417,58.667,-19.417,4.3205,2.8987,7.8740,51.750,56.000,-21.750,3.5590,4,50.750,62.000,-16.750,4.3205,4,51.750,58.000,-19.750,0.8165,4
