step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size,g3_x,g3_y,g3_z,g3_dist_bary,g3_clust_size
69,16,ok,50.250,19.750,56.750,7.6322,5.9521,15.2643,50.250,13.250,52.750,7.6322,4,50.250,26.250,60.750,7.6322,4,50.250,21.250,60.750,4.2720,4,50.250,18.250,52.750,4.2720,4
70,16,ok,50.500,19.250,57.750,7.6322,5.9521,15.2643,50.500,12.750,53.750,7.6322,4,50.500,20.750,61.750,4.2720,4,50.500,17.750,53.750,4.2720,4,50.500,25.750,61.750,7.6322,4
71,16,ok,51.208,19.375,50.958,13.2153,9.2128,13.5675,51.333,24.500,62.333,12.4769,6,51.000,21.500,32.000,13.2153,2,51.250,13.250,54.750,7.2038,4,51.250,18.250,54.750,3.9553,4
72,16,ok,51.500,19.250,51.750,13.4397,9.3006,13.8609,51.500,23.500,32.500,13.4397,4,51.500,23.000,63.000,11.8585,4,51.500,17.750,55.750,4.2720,4,51.500,12.750,55.750,7.6322,4
73,16,ok,52.258,20.075,44.708,13.8009,12.7375,14.6652,52.250,21.250,32.750,12.0159,4,52.200,13.800,57.000,13.8009,5,52.333,19.000,56.333,11.6748,3,52.250,26.250,32.750,13.4585,4
74,16,ok,52.500,16.625,51.750,15.4884,8.9829,13.8609,52.500,13.000,58.500,7.6618,2,52.500,23.250,33.750,15.4884,8,52.500,17.750,57.750,6.1046,4,52.500,12.500,57.000,6.6767,2
75,16,ok,53.208,16.750,52.958,15.4665,9.1454,14.4287,53.250,18.250,58.750,5.9829,4,53.250,23.750,34.750,15.4665,8,53.333,14.000,58.333,6.0389,3,53.000,11.000,60.000,9.0935,1
76,16,ok,53.500,19.250,47.750,13.6473,12.8704,15.2643,53.500,25.750,35.750,13.6473,4,53.500,12.750,59.750,13.6473,4,53.500,17.750,59.750,12.0934,4,53.500,20.750,35.750,12.0934,4
77,16,ok,54.208,21.062,42.958,15.1691,8.9533,13.5675,54.250,15.750,60.750,15.1691,8,54.000,19.000,38.000,5.3742,1,54.250,22.500,36.750,6.3727,4,54.333,27.000,36.333,8.8972,3
78,16,ok,54.500,19.250,33.750,7.6322,5.9521,15.2643,54.500,12.750,29.750,7.6322,4,54.500,20.750,37.750,4.2720,4,54.500,25.750,37.750,7.6322,4,54.500,17.750,29.750,4.2720,4
79,16,ok,55.250,19.750,34.750,7.6322,5.9521,15.2643,55.250,21.250,38.750,4.2720,4,55.250,26.250,38.750,7.6322,4,55.250,13.250,30.750,7.6322,4,55.250,18.250,30.750,4.2720,4
80,16,ok,55.500,19.250,35.750,7.6322,5.9521,15.2643,55.500,25.750,39.750,7.6322,4,55.500,12.750,31.750,7.6322,4,55.500,17.750,31.750,4.2720,4,55.500,20.750,39.750,4.2720,4
81,16,ok,56.208,17.062,34.958,8.8469,5.4091,14.4287,56.250,14.500,32.750,3.3830,4,56.250,23.750,40.750,8.8469,8,56.000,11.000,34.000,6.1413,1,56.333,19.000,32.333,3.2650,3
82,16,ok,56.500,20.625,39.750,8.0555,4.3971,13.2004,56.500,25.750,41.750,5.5014,4,56.500,21.000,42.500,2.7755,2,56.500,15.250,33.750,8.0555,8,56.500,20.500,41.000,1.2562,2
83,16,ok,57.258,20.075,38.708,7.8898,6.1728,15.7028,57.250,13.250,34.750,7.8898,4,57.333,27.000,42.333,7.8168,3,57.250,18.250,34.750,4.3588,4,57.200,21.800,43.000,4.6257,5
84,16,ok,57.583,16.500,37.958,8.8945,5.1088,13.2639,57.500,17.750,35.750,2.5389,4,58.000,12.000,37.000,4.6197,1,57.500,23.250,43.750,8.8945,8,57.333,13.000,35.333,4.3821,3
85,16,ok,58.258,20.075,40.708,7.3801,5.8460,14.6652,58.250,26.250,44.750,7.3801,4,58.200,13.800,37.000,7.2891,5,58.333,19.000,36.333,4.5058,3,58.250,21.250,44.750,4.2090,4
86,16,ok,58.500,19.250,41.750,7.6322,5.9521,15.2643,58.500,17.750,37.750,4.2720,4,58.500,25.750,45.750,7.6322,4,58.500,12.750,37.750,7.6322,4,58.500,20.750,45.750,4.2720,4
87,16,ok,59.267,20.400,42.667,7.5504,6.0524,15.1008,59.200,13.800,39.000,7.5504,5,59.333,27.000,46.333,7.5504,3,59.333,19.000,38.333,4.5544,3,59.200,21.800,47.000,4.5544,5
88,16,ok,59.500,19.250,43.750,7.6322,5.9521,15.2643,59.500,20.750,47.750,4.2720,4,59.500,12.750,39.750,7.6322,4,59.500,17.750,39.750,4.2720,4,59.500,25.750,47.750,7.6322,4
89,16,ok,60.250,19.750,44.750,7.6322,5.9521,15.2643,60.250,26.250,48.750,7.6322,4,60.250,13.250,40.750,7.6322,4,60.250,18.250,40.750,4.2720,4,60.250,21.250,48.750,4.2720,4
90,16,ok,60.583,20.500,47.958,8.1310,4.5684,13.2004,60.500,15.250,41.750,8.1310,8,60.500,25.750,49.750,5.5479,4,61.000,20.000,51.000,3.1105,1,60.333,21.000,49.333,1.4843,3
91,16,ok,61.208,17.062,44.958,8.8469,5.4091,14.4287,61.250,14.500,42.750,3.3830,4,61.250,23.750,50.750,8.8469,8,61.000,11.000,44.000,6.1413,1,61.333,19.000,42.333,3.2650,3
92,16,ok,61.500,19.250,47.750,7.6322,5.9521,15.2643,61.500,25.750,51.750,7.6322,4,61.500,17.750,43.750,4.2720,4,61.500,12.750,43.750,7.6322,4,61.500,20.750,51.750,4.2720,4
93,16,ok,62.271,17.438,46.771,8.6947,5.0847,14.0779,62.333,19.000,44.333,2.8960,3,62.250,23.750,52.750,8.6947,8,62.500,12.000,45.000,5.7232,2,62.000,15.000,45.000,3.0250,3
94,16,ok,62.500,19.250,49.750,7.6322,5.9521,15.2643,62.500,17.750,45.750,4.2720,4,62.500,25.750,53.750,7.6322,4,62.500,12.750,45.750,7.6322,4,62.500,20.750,53.750,4.2720,4
95,16,ok,55.250,21.208,51.688,10.5321,9.6357,13.8694,63.000,15.833,47.000,10.5321,6,32.000,19.500,50.000,9.0735,4,63.000,22.000,55.250,8.5663,4,63.000,27.500,54.500,10.3710,2
96,16,ok,39.750,19.875,52.875,10.6169,9.4088,13.2004,32.000,14.500,48.000,10.6169,4,63.000,20.000,51.500,8.8583,8,32.000,25.000,56.000,9.8027,2,32.000,20.000,56.000,8.3573,2
97,16,ok,32.267,20.400,52.667,7.5504,6.0524,15.1008,32.333,27.000,56.333,7.5504,3,32.200,13.800,49.000,7.5504,5,32.200,21.800,57.000,4.5544,5,32.333,19.000,48.333,4.5544,3
